department_code,department_name,registered,abstentions,pct_abstention,voters,pct_voters,blank_votes,pct_blank_registered,pct_blank_voters,null_votes,pct_null_registered,pct_null_voters,valid_votes,pct_valid_registered,pct_valid_voters,votes_F-ARTHAUD-Nathalie,votes_M-ROUSSEL-Fabien,votes_M-MACRON-Emmanuel,votes_M-LASSALLE-Jean,votes_F-LE PEN-Marine,votes_M-ZEMMOUR-Eric,votes_M-MELENCHON-Jean-Luc,votes_F-HIDALGO-Anne,votes_M-JADOT-Yannick,votes_F-PECRESSE-Valerie,votes_M-POUTOU-Philippe,votes_M-DUPONT-AIGNAN-Nicolas,unemployment_rate,median_income,households_count,pct_taxed_households,pct_immigrants,crime_taux_autres_coups_et_blessures_volontaires--(victime),crime_taux_cambriolages_de_logement--(infraction),crime_taux_coups_et_blessures_volontaires--(victime),crime_taux_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_taux_destructions_et_degradations_volontaires--(infraction),crime_taux_escroqueries--(victime),crime_taux_homicides--(victime),crime_taux_tentatives_d'homicides--(victime),crime_taux_trafic_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants_(afd)--(mis_en_cause),crime_taux_violences_sexuelles--(victime),crime_taux_vols_avec_armes--(infraction),crime_taux_vols_d'accessoires_sur_vehicules--(vehicule),crime_taux_vols_dans_les_vehicules--(vehicule),crime_taux_vols_de_vehicules--(vehicule),crime_taux_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_taux_vols_violents_sans_arme--(infraction),crime_n_autres_coups_et_blessures_volontaires--(victime),crime_n_cambriolages_de_logement--(infraction),crime_n_coups_et_blessures_volontaires--(victime),crime_n_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_n_destructions_et_degradations_volontaires--(infraction),crime_n_escroqueries--(victime),crime_n_homicides--(victime),crime_n_tentatives_d'homicides--(victime),crime_n_trafic_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants_(afd)--(mis_en_cause),crime_n_violences_sexuelles--(victime),crime_n_vols_avec_armes--(infraction),crime_n_vols_d'accessoires_sur_vehicules--(vehicule),crime_n_vols_dans_les_vehicules--(vehicule),crime_n_vols_de_vehicules--(vehicule),crime_n_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_n_vols_violents_sans_arme--(infraction),zone
53,Mayenne,224722,52812,23.5,171910,76.5,3483,1.55,2.03,1519,0.68,0.88,166908,74.27,97.09,1273,3313,60755,4673,37376,8042,25608,3468,7934,9236,1372,3858,5.0,22230.0,131890.0,47.3,4.0,1.316147,3.5062688,3.5555614,2.2394143,6.0994575,4.6196106,0.003274,0.013096,0.2750158,3.7356312,1.2604891,1.7090267,0.022918,1.0542272,2.0789885,0.7464714,4.4788287,0.2881118,402.0,560.0,1086.0,684.0,1863.0,1411.0,1.0,4.0,84.0,1141.0,385.0,522.0,7.0,322.0,635.0,228.0,1368.0,88.0,metro
54,Meurthe-et-Moselle,492057,130919,26.61,361138,73.39,5092,1.03,1.41,2246,0.46,0.62,353800,71.9,97.97,2373,7961,95252,8739,97243,23518,73892,6362,14588,13387,3214,7271,7.0,23010.0,312506.0,49.4,9.4,2.1872075,3.3875943,5.111216,2.9240085,8.1689403,5.468701,0.0109156,0.0409334,0.623552,2.8175817,1.1720594,1.7314824,0.0627645,1.1474994,2.1285363,1.0929215,6.7198983,0.3588494,1603.0,1303.0,3746.0,2143.0,5987.0,4008.0,8.0,30.0,457.0,2065.0,859.0,1269.0,46.0,841.0,1560.0,801.0,4925.0,263.0,metro
55,Meuse,134805,34092,25.29,100713,74.71,1509,1.12,1.5,691,0.51,0.69,98513,73.08,97.82,702,1957,24539,3500,34588,7347,13559,1483,3130,4403,883,2422,7.2,21890.0,80164.0,47.0,4.9,2.1356054,4.5114302,4.4205925,2.2849871,7.3086392,4.5865722,0.0055327,0.0663919,1.0401394,3.7456085,1.0235415,1.803646,0.0387286,1.3167722,1.7981134,1.5989377,4.6197682,0.193643,386.0,452.0,799.0,413.0,1321.0,829.0,1.0,12.0,188.0,677.0,185.0,326.0,7.0,238.0,325.0,289.0,835.0,35.0,metro
56,Morbihan,608972,130520,21.43,478452,78.57,7959,1.31,1.66,3119,0.51,0.65,467374,76.75,97.68,2952,11529,152740,14399,102856,26595,84200,8267,27036,22838,4376,9586,5.8,23140.0,354219.0,51.5,3.5,1.7678066,4.5943167,3.8577354,2.0899288,6.2684979,5.0044904,0.0103079,0.0219043,0.4973567,1.8502699,0.7589199,1.5938606,0.0270583,1.3426053,2.0461202,0.9354428,5.3214586,0.2126006,1372.0,2213.0,2994.0,1622.0,4865.0,3884.0,8.0,17.0,386.0,1436.0,589.0,1237.0,21.0,1042.0,1588.0,726.0,4130.0,165.0,metro
57,Moselle,745914,210299,28.19,535615,71.81,7943,1.06,1.48,3353,0.45,0.63,524319,70.29,97.89,3499,8750,136366,14163,159254,39369,100159,7534,18931,19300,4343,12651,7.2,22980.0,442758.0,46.2,11.4,1.7273853,3.6892657,4.2694493,2.542064,6.8562444,4.1828421,0.0161794,0.0295036,0.4092428,1.9795931,0.9022376,1.1791903,0.0485381,0.9926517,2.0090966,0.9450653,5.2468733,0.2883734,1815.0,1961.0,4486.0,2671.0,7204.0,4395.0,17.0,31.0,430.0,2080.0,948.0,1239.0,51.0,1043.0,2111.0,993.0,5513.0,303.0,metro
58,Nievre,154186,38850,25.2,115336,74.8,1957,1.27,1.7,938,0.61,0.81,112441,72.93,97.49,833,4281,28686,4106,32838,7378,19930,2160,3552,5172,1010,2495,6.7,21380.0,96531.0,46.5,5.6,1.5224989,4.3923757,3.4157361,1.8932372,7.2714151,5.215053,0.0049432,0.0148295,0.3559088,2.2936347,1.0232379,1.497783,0.0197727,1.3247717,1.4780103,1.7449419,4.6367011,0.2273862,308.0,621.0,691.0,383.0,1471.0,1055.0,1.0,3.0,72.0,464.0,207.0,303.0,4.0,268.0,299.0,353.0,938.0,46.0,metro
59,Nord,1813906,514033,28.34,1299873,71.66,17416,0.96,1.34,7676,0.42,0.59,1274781,70.28,98.07,7673,45902,336138,22459,373127,73168,279785,18215,46962,42470,8265,20617,9.3,21340.0,1072648.0,47.7,7.2,2.5319948,6.8820767,6.1836311,3.6516363,9.2257698,5.026923,0.0126103,0.0324811,0.6813382,4.2936151,2.3206768,1.7795804,0.1176961,2.3248802,5.4575837,2.3539221,8.6881126,0.9729035,6626.0,8614.0,16182.0,9556.0,24143.0,13155.0,33.0,85.0,1783.0,11236.0,6073.0,4657.0,308.0,6084.0,14282.0,6160.0,22736.0,2546.0,metro
60,Oise,564121,142081,25.19,422040,74.81,6324,1.12,1.5,4002,0.71,0.95,411714,72.98,97.55,2859,9054,100043,9179,132873,30333,79446,4251,13785,17450,3048,9393,7.4,23330.0,332584.0,56.0,8.9,1.7695387,4.4279566,4.5911704,2.8216317,6.9505552,4.9065575,0.0024075,0.0650035,0.5525294,4.919799,3.1201661,1.5636944,0.0710223,2.03196,2.1992838,2.7169039,5.1449035,0.3515002,1470.0,1692.0,3814.0,2344.0,5774.0,4076.0,2.0,54.0,459.0,4087.0,2592.0,1299.0,59.0,1688.0,1827.0,2257.0,4274.0,292.0,metro
61,Orne,205538,50935,24.78,154603,75.22,2586,1.26,1.67,1067,0.52,0.69,150950,73.44,97.64,1203,3261,46005,4895,41804,8910,22993,2368,5513,8838,1334,3826,6.6,21400.0,124987.0,45.2,4.6,1.658555,4.1546839,3.9544585,2.2959036,7.532302,4.9358306,0.0181065,0.0217278,0.4309346,3.027406,1.332638,1.8178921,0.0108639,0.9415377,1.1805435,0.9777507,4.2369199,0.1339881,458.0,686.0,1092.0,634.0,2080.0,1363.0,5.0,6.0,119.0,836.0,368.0,502.0,3.0,260.0,326.0,270.0,1170.0,37.0,metro
62,Pas-de-Calais,1093723,286319,26.18,807404,73.82,10601,0.97,1.31,6150,0.56,0.76,790653,72.29,97.93,5887,26146,194610,17010,305816,40764,124741,11619,19295,25307,5488,13970,8.3,20720.0,612380.0,44.1,2.5,2.3291585,4.4687044,6.3170121,3.9878536,8.7201339,4.2467251,0.0102727,0.0253393,0.3794042,3.4036806,1.6806101,1.8620941,0.0451998,1.3498299,2.0511114,1.185467,4.9822488,0.3746103,3401.0,3253.0,9224.0,5823.0,12733.0,6201.0,15.0,37.0,554.0,4970.0,2454.0,2719.0,66.0,1971.0,2995.0,1731.0,7275.0,547.0,metro
63,Puy-de-Dome,468103,100869,21.55,367234,78.45,6938,1.48,1.89,2709,0.58,0.74,357587,76.39,97.37,2556,12713,100134,16136,78182,20624,74534,8216,17029,17352,3189,6922,6.3,23060.0,297502.0,52.3,7.5,1.8031714,6.7374888,3.5747345,1.7715632,8.103735,5.1295559,0.0075258,0.0526803,0.5418545,2.0259338,0.9241629,1.2522859,0.0752576,1.1469254,2.4549019,1.3395847,6.1274713,0.3792981,1198.0,2681.0,2375.0,1177.0,5384.0,3408.0,5.0,35.0,360.0,1346.0,614.0,832.0,50.0,762.0,1631.0,890.0,4071.0,252.0,metro
64,Pyrenees-Atlantiques,519929,110134,21.18,409795,78.82,5816,1.12,1.42,2489,0.48,0.61,401490,77.22,97.97,1677,10170,111610,48246,69768,25877,76030,9276,19967,17166,4982,6721,5.7,23300.0,318666.0,52.1,7.7,1.7012808,3.7343834,3.6398832,1.9386023,6.7264927,5.1581691,0.0057186,0.0343115,0.4489094,1.7727632,0.6404822,1.2323564,0.0200151,0.7720098,2.5147504,1.432507,6.8594499,0.3416858,1190.0,1575.0,2546.0,1356.0,4705.0,3608.0,4.0,24.0,314.0,1240.0,448.0,862.0,14.0,540.0,1759.0,1002.0,4798.0,239.0,metro
65,Hautes-Pyrenees,177443,39595,22.31,137848,77.69,2064,1.16,1.5,896,0.5,0.65,134888,76.02,97.85,636,4539,33692,14761,29938,8714,26449,3315,4872,4560,1003,2409,8.0,21530.0,104732.0,46.0,7.0,1.780059,2.9102592,3.7847857,2.0047267,6.7227472,5.3617797,0.0259232,0.0561669,0.4838995,2.6484859,1.0498892,1.5640324,0.0388848,0.9029911,1.844867,0.8165805,7.0424665,0.2073855,412.0,482.0,876.0,464.0,1556.0,1241.0,6.0,13.0,112.0,613.0,243.0,362.0,9.0,209.0,427.0,189.0,1630.0,48.0,metro
66,Pyrenees-Orientales,362076,87704,24.22,274372,75.78,3528,0.97,1.29,2276,0.63,0.83,268568,74.17,97.88,1312,6509,55169,11690,87930,24782,51556,5013,8588,8815,1995,5209,11.7,20650.0,228970.0,43.8,10.6,2.6229096,3.8774634,5.2661046,2.643195,10.9622609,6.4061473,0.0243425,0.0811418,1.2901551,3.5742975,1.8540908,1.8236626,0.1034558,1.6816644,3.9800067,2.4667116,9.8891603,0.9250168,1293.0,1405.0,2596.0,1303.0,5404.0,3158.0,12.0,40.0,636.0,1762.0,914.0,899.0,51.0,829.0,1962.0,1216.0,4875.0,456.0,metro
67,Bas-Rhin,778712,190224,24.43,588488,75.57,8335,1.07,1.42,3434,0.44,0.58,576719,74.06,98.0,3687,7015,177069,14652,145883,40458,105055,8348,28573,24812,4158,17009,6.2,24090.0,481046.0,56.8,11.6,1.8781932,3.4953505,4.0079069,2.1297137,6.4193928,4.8566808,0.0034573,0.023337,0.4580959,1.802132,0.7459184,1.4330623,0.0665536,0.765798,2.4080286,0.6759075,8.5715792,0.4589602,2173.0,2033.0,4637.0,2464.0,7427.0,5619.0,4.0,27.0,530.0,2085.0,863.0,1658.0,77.0,886.0,2786.0,782.0,9917.0,531.0,metro
68,Haut-Rhin,531738,137861,25.93,393877,74.07,6382,1.2,1.62,2386,0.45,0.61,385109,72.42,97.77,2265,4649,107248,11063,106937,30284,66238,4881,18963,15994,2842,13745,6.9,24470.0,327418.0,57.1,12.3,1.923678,3.9671842,4.6314144,2.7077364,6.831206,4.0661631,0.0130242,0.0455848,0.5678562,2.302683,0.9676999,1.8820005,0.0455848,0.6486064,2.7572284,0.6603282,6.562907,0.3737953,1477.0,1545.0,3556.0,2079.0,5245.0,3122.0,10.0,35.0,436.0,1768.0,743.0,1445.0,35.0,498.0,2117.0,507.0,5039.0,287.0,metro
69,Rhone,1181226,255580,21.64,925646,78.36,12708,1.08,1.37,3925,0.33,0.42,909013,76.96,98.2,3774,15938,278243,17572,150463,74168,229036,15895,51907,50263,5267,16487,6.4,24480.0,790681.0,58.6,13.1,2.7468813,9.9394502,5.2825446,2.5356633,8.7574201,6.8601276,0.0115305,0.0440256,0.8291483,4.8449094,3.2070533,1.4172041,0.1865846,2.3291624,9.0304835,3.2243491,17.4540431,1.8883826,5241.0,9582.0,10079.0,4838.0,16709.0,13089.0,22.0,84.0,1582.0,9244.0,6119.0,2704.0,356.0,4444.0,17230.0,6152.0,33302.0,3603.0,metro
70,Haute-Saone,177715,39039,21.97,138676,78.03,2364,1.33,1.7,1573,0.89,1.13,134739,75.82,97.16,1171,2836,30204,4820,46618,9675,21089,2345,4292,6754,1295,3640,6.4,21860.0,105603.0,47.4,4.6,1.5304378,3.1363648,3.7961696,2.2657319,6.8142955,5.129959,0.004275,0.0726744,0.5087209,2.1503078,0.9362175,1.4876881,0.0213748,0.743844,1.0687415,0.9404925,4.2364911,0.0897743,358.0,406.0,888.0,530.0,1594.0,1200.0,1.0,17.0,119.0,503.0,219.0,348.0,5.0,174.0,250.0,220.0,991.0,21.0,metro
71,Saone-et-Loire,402992,95369,23.67,307623,76.33,5923,1.47,1.93,2400,0.6,0.78,299300,74.27,97.29,1979,7419,82633,10186,81970,20686,52336,6037,10730,15210,2369,7745,6.4,22170.0,248910.0,49.0,7.1,1.5460651,4.4642148,3.7440634,2.1979983,6.0003351,4.842152,0.0145683,0.0564523,0.469829,3.1758981,1.2965823,1.112657,0.041884,1.2929402,1.6553276,1.200067,4.5234696,0.213062,849.0,1402.0,2056.0,1207.0,3295.0,2659.0,8.0,31.0,258.0,1744.0,712.0,611.0,23.0,710.0,909.0,659.0,2484.0,117.0,metro
72,Sarthe,411308,105454,25.64,305854,74.36,6694,1.63,2.19,2098,0.51,0.69,297062,72.22,97.13,2150,6908,83876,7546,82234,16218,54244,5409,13541,15937,2505,6494,7.2,22230.0,248165.0,49.5,4.6,1.905926,5.5495814,4.4583478,2.5524218,7.3198865,5.5941314,0.022963,0.0618234,0.4345299,1.4554987,0.3992023,1.7858121,0.0653561,1.0792593,3.0364104,1.2400001,6.2777212,0.4380627,1079.0,1645.0,2524.0,1445.0,4144.0,3167.0,13.0,35.0,246.0,824.0,226.0,1011.0,37.0,611.0,1719.0,702.0,3554.0,248.0,metro
73,Savoie,320709,68929,21.49,251780,78.51,3931,1.23,1.56,1491,0.46,0.59,246358,76.82,97.85,1205,5536,64689,8081,56733,18045,49858,4418,15642,13608,1849,6694,5.3,24270.0,196556.0,57.8,8.3,1.9448088,3.2823753,3.9861842,2.0413755,7.5007636,4.9204111,0.008983,0.0336861,0.642281,2.4860315,1.0824455,1.3496883,0.0359318,0.9521927,2.0930274,1.0307936,9.2726505,0.3031746,866.0,1178.0,1775.0,909.0,3340.0,2191.0,4.0,15.0,286.0,1107.0,482.0,601.0,16.0,424.0,932.0,459.0,4129.0,135.0,metro
74,Haute-Savoie,565665,129384,22.87,436281,77.13,6918,1.22,1.59,2224,0.39,0.51,427139,75.51,97.9,1880,5997,130422,13371,87744,33353,78062,6606,29948,22349,3232,14175,5.5,28120.0,352959.0,58.0,13.1,1.6313886,5.0619081,3.8666028,2.2352142,6.7903901,5.8628763,0.0082393,0.0294262,0.9357532,3.8206979,1.7467393,1.3171168,0.0353114,0.9863663,2.3552731,1.4065724,9.0314896,0.2919079,1386.0,2737.0,3285.0,1899.0,5769.0,4981.0,7.0,25.0,795.0,3246.0,1484.0,1119.0,30.0,838.0,2001.0,1195.0,7673.0,248.0,metro
75,Paris,1368025,296668,21.69,1071357,78.31,11028,0.81,1.03,5267,0.39,0.49,1055062,77.12,98.48,2891,17267,372820,12139,58429,86088,317372,22901,80268,69564,5732,9591,5.7,29730.0,1007247.0,68.8,20.5,3.9996121,8.6436176,6.3627611,2.3631491,10.0278894,12.5764948,0.0165586,0.0681268,2.1034156,7.589517,4.2437332,2.4326952,0.2559487,1.2281752,8.0205137,3.0056228,57.737953,5.8669493,8454.0,12073.0,13449.0,4995.0,21196.0,26583.0,35.0,144.0,4446.0,16042.0,8970.0,5142.0,541.0,2596.0,16953.0,6353.0,122041.0,12401.0,metro
76,Seine-Maritime,879252,222147,25.27,657105,74.73,10982,1.25,1.67,3158,0.36,0.48,642965,73.13,97.85,4433,19896,179698,13588,177806,33361,136136,11139,24785,24281,5477,12365,7.9,22340.0,542966.0,50.8,5.9,2.1647272,3.967461,4.7674783,2.6027511,8.1534354,5.159478,0.0095223,0.0301538,0.4848418,4.8174702,3.1375848,1.6775049,0.1301376,1.3894565,4.281843,1.7346384,7.3599137,0.9760317,2728.0,2610.0,6008.0,3280.0,10275.0,6502.0,12.0,38.0,611.0,6071.0,3954.0,2114.0,164.0,1751.0,5396.0,2186.0,9275.0,1230.0,metro
77,Seine-et-Marne,899303,223172,24.82,676131,75.18,11057,1.23,1.64,4145,0.46,0.61,660929,73.49,97.75,3440,12843,165208,13797,155738,47893,170969,7853,26718,36828,4600,15042,6.7,24640.0,557596.0,62.4,14.6,1.6820447,7.1409012,4.3858471,2.7038025,7.1984351,5.3972772,0.0089507,0.0364913,0.6327462,5.5046857,3.347565,1.3357211,0.0957037,2.2397427,2.9372094,2.5447553,7.2590246,0.6258611,2443.0,4580.0,6370.0,3927.0,10455.0,7839.0,13.0,53.0,919.0,7995.0,4862.0,1940.0,139.0,3253.0,4266.0,3696.0,10543.0,909.0,metro
78,Yvelines,961245,211708,22.02,749537,77.98,9601,1.0,1.28,3430,0.36,0.46,736506,76.62,98.26,2774,11721,246062,13687,101398,64407,168585,9046,40470,61296,3963,13097,6.4,28130.0,587390.0,69.7,15.4,1.3428267,6.9120185,3.9992439,2.6564172,6.3884556,6.6998555,0.0067991,0.0203974,0.5432499,5.0497084,3.286016,1.3537053,0.0693511,1.4074184,1.8514011,2.0023416,7.3709289,0.5928835,1975.0,4571.0,5882.0,3907.0,9396.0,9854.0,10.0,30.0,799.0,7427.0,4833.0,1991.0,102.0,2070.0,2723.0,2945.0,10841.0,872.0,metro
79,Deux-Sevres,273214,59403,21.74,213811,78.26,3839,1.41,1.8,2168,0.79,1.01,207804,76.06,97.19,1644,4538,68446,7014,47903,8803,39120,4340,10074,9257,2134,4531,,22220.0,167224.0,48.1,4.8,1.4570542,3.9963465,3.6679408,2.2108866,6.8031379,3.9849234,0.0079912,0.0745841,0.4741419,1.9578333,0.9163193,1.6381871,0.0719204,1.1826912,1.8219837,1.2572753,4.7574018,0.2823542,547.0,789.0,1377.0,830.0,2554.0,1496.0,3.0,28.0,178.0,735.0,344.0,615.0,27.0,444.0,684.0,472.0,1786.0,106.0,metro
80,Somme,410056,102687,25.04,307369,74.96,4837,1.18,1.57,3614,0.88,1.18,298918,72.9,97.25,2486,7706,83107,7371,98024,16885,52343,3746,8048,11380,2206,5616,8.7,21560.0,238627.0,47.9,4.0,2.1324752,3.3729531,5.3364926,3.2040174,9.4087067,4.5514022,0.0176822,0.0247551,0.4173003,3.3490116,1.2660466,1.7134067,0.0424373,1.4640874,2.3234431,1.7187113,7.3487286,0.558758,1206.0,1036.0,3018.0,1812.0,5321.0,2574.0,10.0,14.0,236.0,1894.0,716.0,969.0,24.0,828.0,1314.0,972.0,4156.0,316.0,metro
81,Tarn,298178,62818,21.07,235360,78.93,3451,1.16,1.47,2067,0.69,0.88,229842,77.08,97.66,1175,5313,53925,17010,56543,15982,48430,5818,8680,10014,1829,5123,7.8,21730.0,175298.0,45.3,6.6,1.6079037,4.8065488,3.904909,2.2970053,6.7218958,4.9751621,0.0075725,0.0151451,0.6537631,3.22338,1.9739101,1.5624684,0.0403869,0.5931827,1.7139193,0.7395852,4.7555582,0.2599907,637.0,1048.0,1547.0,910.0,2663.0,1971.0,3.0,6.0,259.0,1277.0,782.0,619.0,16.0,235.0,679.0,293.0,1884.0,103.0,metro
82,Tarn-et-Garonne,188706,39625,21.0,149081,79.0,2169,1.15,1.45,1092,0.58,0.73,145820,77.27,97.81,679,3628,31737,9573,42183,11772,27881,3069,4835,5994,1057,3412,8.6,21520.0,113688.0,45.8,9.1,1.713699,5.0628778,4.0728662,2.3591672,6.0658906,5.2543371,0.0037747,0.022648,0.237804,1.2796123,0.6341441,1.3022603,0.0415213,0.8832722,1.736347,1.0267095,4.835349,0.1623107,454.0,688.0,1079.0,625.0,1607.0,1392.0,1.0,6.0,63.0,339.0,168.0,345.0,11.0,234.0,460.0,272.0,1281.0,43.0,metro
83,Var,820904,211212,25.73,609692,74.27,7803,0.95,1.28,3159,0.38,0.52,598730,72.94,98.2,2098,10672,142335,17784,183287,79329,89272,5703,21044,28342,3578,15286,7.4,23120.0,503726.0,53.0,7.8,2.4865477,5.8062425,5.3529346,2.8663869,9.523947,6.7550011,0.0090223,0.0433071,1.0095961,4.1358254,2.0958819,1.3271813,0.0721785,1.2793631,3.3689293,2.2889592,10.1906955,0.5377295,2756.0,4318.0,5933.0,3177.0,10556.0,7487.0,10.0,48.0,1119.0,4584.0,2323.0,1471.0,80.0,1418.0,3734.0,2537.0,11295.0,596.0,metro
84,Vaucluse,411607,101650,24.7,309957,75.3,4350,1.06,1.4,1742,0.42,0.56,303865,73.82,98.03,1221,6247,66885,9843,89413,30473,63049,3769,12128,11918,2023,6896,9.5,21370.0,248159.0,47.1,11.3,2.2841488,9.5094424,4.6456668,2.361518,8.5387426,5.5494793,0.0193423,0.0509933,1.2713161,4.2218948,2.3738267,1.2502154,0.1002282,1.4840813,3.3479749,2.0749004,8.3804875,0.5486177,1299.0,2990.0,2642.0,1343.0,4856.0,3156.0,11.0,29.0,723.0,2401.0,1350.0,711.0,57.0,844.0,1904.0,1180.0,4766.0,312.0,metro
85,Vendee,550963,120547,21.88,430416,78.12,7312,1.33,1.7,3395,0.62,0.79,419709,76.18,97.51,2647,8153,149587,13039,97280,25663,60524,7244,19753,22534,3621,9664,5.2,22790.0,318721.0,50.2,2.6,1.1354257,3.178033,2.8060022,1.6705765,6.6270919,4.694603,0.0042472,0.0155732,0.2817328,1.6309357,0.3185421,1.5431596,0.0283149,1.1991341,1.7569368,1.1028636,5.0542017,0.1231696,802.0,1402.0,1982.0,1180.0,4681.0,3316.0,3.0,11.0,199.0,1152.0,225.0,1090.0,20.0,847.0,1241.0,779.0,3570.0,87.0,metro
86,Vienne,306011,68304,22.32,237707,77.68,4053,1.32,1.71,2002,0.65,0.84,231652,75.7,97.45,1715,6412,67831,7741,54214,11939,49162,4542,10727,9959,2315,5095,5.9,22220.0,189604.0,48.8,5.7,1.6800095,5.2844772,3.8820301,2.2020206,7.5999343,5.3614414,0.0159567,0.0387519,0.4627435,2.243052,0.9938726,1.7962652,0.0547086,1.4771318,3.0454446,1.3540375,6.3849478,0.2940586,737.0,1296.0,1703.0,966.0,3334.0,2352.0,7.0,17.0,203.0,984.0,436.0,788.0,24.0,648.0,1336.0,594.0,2801.0,129.0,metro
87,Haute-Vienne,263742,55484,21.04,208258,78.96,3787,1.44,1.82,2353,0.89,1.13,202118,76.63,97.05,1457,8030,54951,9973,45357,10796,43137,5654,7877,9544,1787,3555,6.5,22140.0,169832.0,49.0,7.8,1.6808167,4.6179437,3.7053147,2.024498,7.3757243,5.5015868,0.00537,0.0187951,0.3195163,2.6608456,1.3183402,1.3586154,0.0563852,1.4472207,3.5012539,0.7974482,6.1298793,0.3329413,626.0,1029.0,1380.0,754.0,2747.0,2049.0,2.0,7.0,119.0,991.0,491.0,506.0,21.0,539.0,1304.0,297.0,2283.0,124.0,metro
88,Vosges,277913,68914,24.8,208999,75.2,3431,1.23,1.64,1874,0.67,0.9,203694,73.29,97.46,1569,3847,51432,7203,65646,13184,32655,3114,7562,9344,1986,6152,7.5,21550.0,166405.0,46.3,4.8,1.9124617,3.3740483,4.173404,2.2609423,7.3348202,4.4995818,0.0055757,0.0947867,0.5296905,2.8017842,1.0370783,1.583496,0.036242,1.006412,1.349317,1.2461667,4.7588514,0.2007248,686.0,727.0,1497.0,811.0,2631.0,1614.0,2.0,34.0,190.0,1005.0,372.0,568.0,13.0,361.0,484.0,447.0,1707.0,72.0,metro
89,Yonne,237957,57549,24.18,180408,75.82,2715,1.14,1.5,1182,0.5,0.66,176511,74.18,97.84,1203,4023,42617,5356,55164,12941,31601,2286,5917,9322,1487,4594,6.7,21940.0,151342.0,50.2,7.7,1.8748353,4.8338754,4.5942449,2.7194096,8.3948295,5.5526272,0.0149747,0.0299494,0.3174641,4.7080528,2.5277332,1.9197594,0.0598989,2.1114359,2.0814865,2.3031123,5.3100367,0.3384287,626.0,960.0,1534.0,908.0,2803.0,1854.0,5.0,10.0,106.0,1572.0,844.0,641.0,20.0,705.0,695.0,769.0,1773.0,113.0,metro
90,Territoire de Belfort,93724,22238,23.73,71486,76.27,1242,1.33,1.74,590,0.63,0.83,69654,74.32,97.44,560,1485,16768,2000,19061,5583,14601,1052,2798,3322,603,1821,8.3,22920.0,60507.0,53.3,9.9,2.4057338,3.0018919,5.418255,3.0125212,8.0167331,3.7977756,0.0142774,0.0071387,0.6139261,2.7412516,1.6775888,1.2849617,0.0428321,0.5211233,1.0922174,0.5425394,5.17554,0.1856056,337.0,221.0,759.0,422.0,1123.0,532.0,2.0,1.0,86.0,384.0,235.0,180.0,6.0,73.0,153.0,76.0,725.0,26.0,metro
91,Essonne,799500,192200,24.04,607300,75.96,8954,1.12,1.47,3405,0.43,0.56,594941,74.41,97.96,2831,13480,164503,11610,105862,39284,167310,7944,29562,33046,4306,15203,6.4,25040.0,520852.0,64.7,17.6,1.7840075,6.9353885,4.871103,3.0870955,7.5656112,5.7189407,0.0158545,0.0422786,0.9867532,3.7016457,2.1584754,1.3884003,0.1343857,2.5518178,3.256965,2.7835953,7.6433737,0.9165405,2363.0,4076.0,6452.0,4089.0,10021.0,7575.0,21.0,56.0,1307.0,4903.0,2859.0,1839.0,178.0,3380.0,4314.0,3687.0,10124.0,1214.0,metro
92,Hauts-de-Seine,997667,208790,20.93,788877,79.07,11841,1.19,1.5,2294,0.23,0.29,774742,77.66,98.21,2306,13170,287494,11260,64812,62761,199640,10518,47103,62231,3704,9743,5.9,29720.0,695869.0,70.4,19.3,1.4999074,6.4449033,3.9424924,2.442585,7.8054673,8.5611875,0.0078911,0.0358132,0.7466152,4.1300567,2.7612622,1.2127944,0.0874086,1.2322186,3.1218227,2.735161,13.4081163,1.2364676,2471.0,5313.0,6495.0,4024.0,12859.0,14104.0,13.0,59.0,1230.0,6804.0,4549.0,1998.0,144.0,2030.0,5143.0,4506.0,22089.0,2037.0,metro
93,Seine-Saint-Denis,793929,239927,30.22,554002,69.78,7607,0.96,1.37,3244,0.41,0.59,543151,68.41,98.04,2756,11642,110118,6805,64543,27969,266632,5890,19352,17481,3663,6300,10.2,19020.0,603965.0,49.2,31.1,3.2484503,8.9212566,7.2574291,4.0089789,9.974877,5.9403291,0.0112979,0.095735,2.5426274,6.4630067,3.79967,1.7464211,0.2877997,2.3083441,6.43387,3.4369472,15.2206811,3.1895821,5463.0,6292.0,12205.0,6742.0,16775.0,9990.0,19.0,161.0,4276.0,10869.0,6390.0,2937.0,484.0,3882.0,10820.0,5780.0,25597.0,5364.0,metro
