department_code,department_name,registered,abstentions,pct_abstention,voters,pct_voters,blank_votes,pct_blank_registered,pct_blank_voters,null_votes,pct_null_registered,pct_null_voters,valid_votes,pct_valid_registered,pct_valid_voters,votes_F-ARTHAUD-Nathalie,votes_M-ROUSSEL-Fabien,votes_M-MACRON-Emmanuel,votes_M-LASSALLE-Jean,votes_F-LE PEN-Marine,votes_M-ZEMMOUR-Eric,votes_M-MELENCHON-Jean-Luc,votes_F-HIDALGO-Anne,votes_M-JADOT-Yannick,votes_F-PECRESSE-Valerie,votes_M-POUTOU-Philippe,votes_M-DUPONT-AIGNAN-Nicolas,unemployment_rate,median_income,households_count,pct_taxed_households,pct_immigrants,crime_taux_autres_coups_et_blessures_volontaires--(victime),crime_taux_cambriolages_de_logement--(infraction),crime_taux_coups_et_blessures_volontaires--(victime),crime_taux_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_taux_destructions_et_degradations_volontaires--(infraction),crime_taux_escroqueries--(victime),crime_taux_homicides--(victime),crime_taux_tentatives_d'homicides--(victime),crime_taux_trafic_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants_(afd)--(mis_en_cause),crime_taux_violences_sexuelles--(victime),crime_taux_vols_avec_armes--(infraction),crime_taux_vols_d'accessoires_sur_vehicules--(vehicule),crime_taux_vols_dans_les_vehicules--(vehicule),crime_taux_vols_de_vehicules--(vehicule),crime_taux_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_taux_vols_violents_sans_arme--(infraction),crime_n_autres_coups_et_blessures_volontaires--(victime),crime_n_cambriolages_de_logement--(infraction),crime_n_coups_et_blessures_volontaires--(victime),crime_n_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_n_destructions_et_degradations_volontaires--(infraction),crime_n_escroqueries--(victime),crime_n_homicides--(victime),crime_n_tentatives_d'homicides--(victime),crime_n_trafic_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants_(afd)--(mis_en_cause),crime_n_violences_sexuelles--(victime),crime_n_vols_avec_armes--(infraction),crime_n_vols_d'accessoires_sur_vehicules--(vehicule),crime_n_vols_dans_les_vehicules--(vehicule),crime_n_vols_de_vehicules--(vehicule),crime_n_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_n_vols_violents_sans_arme--(infraction),zone
33,Gironde,1158548,249014,21.49,909534,78.51,12367,1.07,1.36,5147,0.44,0.57,892020,76.99,98.07,3679,21522,256179,37725,191542,58321,194775,19598,46677,37575,8734,15693,6.5,23950.0,734949.0,55.7,7.9,2.1337568,8.4251841,4.6531899,2.5194331,8.6592079,6.2860452,0.0101494,0.0555231,0.4811998,2.2412208,1.0955355,1.7301699,0.1104491,1.380315,5.2084204,2.111667,10.991773,0.866279,3574.0,7696.0,7794.0,4220.0,14504.0,10529.0,17.0,93.0,806.0,3754.0,1835.0,2898.0,185.0,2312.0,8724.0,3537.0,18411.0,1451.0,metro
34,Herault,847365,195766,23.1,651599,76.9,8867,1.05,1.36,4004,0.47,0.61,638728,75.38,98.02,2580,14165,142306,22068,165734,57751,154819,12150,28057,23230,4393,11475,10.1,21800.0,536698.0,48.1,10.6,2.5892711,5.5633051,5.1941502,2.604879,9.3943225,6.1330895,0.0180723,0.0509311,0.6604613,4.863098,3.3170929,1.5057532,0.1215775,1.6486888,4.4277193,2.1842868,12.7927408,0.855971,3152.0,4233.0,6323.0,3171.0,11436.0,7466.0,22.0,62.0,804.0,5920.0,4038.0,1833.0,148.0,2007.0,5390.0,2659.0,15573.0,1042.0,metro
35,Ille-et-Vilaine,771636,161427,20.92,610209,79.08,9511,1.23,1.56,3866,0.5,0.63,596832,77.35,97.81,3783,12696,205882,13985,101797,27463,132510,13973,42613,26194,5376,10560,5.4,23690.0,470915.0,53.6,5.2,1.6515932,4.5956979,3.8657377,2.2141446,6.9787024,5.3108818,0.0180305,0.0342579,0.639181,3.1490256,1.682245,1.4974325,0.0730235,1.4965309,2.4737837,1.3964617,8.3363985,0.4994447,1832.0,2644.0,4288.0,2456.0,7741.0,5891.0,20.0,38.0,709.0,3493.0,1866.0,1661.0,81.0,1660.0,2744.0,1549.0,9247.0,554.0,metro
36,Indre,166100,41406,24.93,124694,75.07,2451,1.48,1.97,1246,0.75,1.0,120997,72.85,97.04,1085,3702,31498,4984,34516,7438,20954,2464,3726,6589,1155,2886,7.1,21270.0,102369.0,45.1,4.8,1.7849813,3.9336991,4.1142204,2.3292391,6.9738802,4.8152983,0.0092247,0.0230618,0.2444548,2.6105927,1.2960717,1.6189365,0.0184494,1.7157959,1.808043,1.3099087,4.6538658,0.2582919,387.0,547.0,892.0,505.0,1512.0,1044.0,2.0,5.0,53.0,566.0,281.0,351.0,4.0,372.0,392.0,284.0,1009.0,56.0,metro
37,Indre-et-Loire,440502,105536,23.96,334966,76.04,5437,1.23,1.62,2039,0.46,0.61,327490,74.34,97.77,2243,7835,101503,8520,70553,19931,68012,6216,16245,16279,2882,7271,6.5,23140.0,268673.0,52.7,6.5,1.8415579,4.9645972,3.9978842,2.1563264,7.0887809,6.280767,0.0097351,0.0259603,0.4380798,1.8869884,0.9329478,1.851293,0.1005961,1.4829814,4.9227195,1.3158621,7.862722,0.7869212,1135.0,1654.0,2464.0,1329.0,4369.0,3871.0,6.0,16.0,270.0,1163.0,575.0,1141.0,62.0,914.0,3034.0,811.0,4846.0,485.0,metro
38,Isere,885440,198676,22.44,686764,77.56,10990,1.24,1.6,3478,0.39,0.51,672296,75.93,97.89,3479,14694,180533,17025,154799,47450,153474,12736,40378,28575,4826,14327,5.9,24270.0,535172.0,57.0,10.1,1.9854729,8.1334342,4.2621072,2.2766343,8.4676857,5.8061918,0.0100668,0.0332977,0.4289984,3.6588766,2.3401323,1.4132169,0.1084112,1.7856866,5.1503043,2.1380229,8.7294212,0.5490251,2564.0,5474.0,5504.0,2940.0,10935.0,7498.0,13.0,43.0,554.0,4725.0,3022.0,1825.0,140.0,2306.0,6651.0,2761.0,11273.0,709.0,metro
39,Jura,190597,41634,21.84,148963,78.16,2625,1.38,1.76,1111,0.58,0.75,145227,76.2,97.49,1053,3166,36139,6218,38179,9657,28882,2635,6388,7424,1343,4143,5.1,23140.0,117083.0,51.9,6.2,1.5479577,3.035591,3.7150984,2.1671407,6.9000213,4.8760666,0.0077398,0.0077398,0.3792496,2.2600182,0.986823,1.9349471,0.0154796,1.0797005,1.9426869,1.09518,4.6283934,0.1896248,400.0,461.0,960.0,560.0,1783.0,1260.0,2.0,2.0,98.0,584.0,255.0,500.0,4.0,279.0,502.0,283.0,1196.0,49.0,metro
40,Landes,329337,65654,19.94,263683,80.06,4033,1.22,1.53,1600,0.49,0.61,258050,78.35,97.86,1115,8176,69459,24308,58646,16817,44548,9071,8628,10393,1975,4914,6.9,22840.0,193430.0,50.9,5.3,1.8742983,4.6077955,4.0917122,2.2174139,6.7829525,5.5972196,0.0116706,0.018673,0.5858641,1.9373195,0.8612903,1.6852346,0.018673,0.7679255,2.0656961,1.0293469,7.648911,0.2054026,803.0,1245.0,1753.0,950.0,2906.0,2398.0,5.0,8.0,251.0,830.0,369.0,722.0,8.0,329.0,885.0,441.0,3277.0,88.0,metro
41,Loir-et-Cher,244718,59350,24.25,185368,75.75,3181,1.3,1.72,1377,0.56,0.74,180810,73.89,97.54,1246,4507,50480,5483,50212,12703,30377,3165,7097,9586,1527,4427,6.0,22510.0,149321.0,51.2,6.5,1.459175,4.8388563,3.6904968,2.2313218,6.9918803,4.5660018,0.0151997,0.0395193,0.2553556,1.9090873,0.7447872,1.7631698,0.0486392,1.4682949,2.1948424,2.453238,4.4200843,0.2036765,480.0,902.0,1214.0,734.0,2300.0,1502.0,5.0,13.0,84.0,628.0,245.0,580.0,16.0,483.0,722.0,807.0,1454.0,67.0,metro
42,Loire,513794,118592,23.08,395202,76.92,6664,1.3,1.69,2600,0.51,0.66,385938,75.12,97.66,2390,9017,104003,11928,97764,28706,78169,6970,16656,18539,2767,9029,7.2,21970.0,334427.0,47.3,9.0,2.0322755,6.0870388,4.2329358,2.2006603,9.4269605,5.5204322,0.0090669,0.0556965,0.3354744,3.6565416,2.1449638,1.1994182,0.0816019,1.6942105,2.8793808,1.6838484,7.6783487,0.8043614,1569.0,2468.0,3268.0,1699.0,7278.0,4262.0,7.0,43.0,259.0,2823.0,1656.0,926.0,63.0,1308.0,2223.0,1300.0,5928.0,621.0,metro
